gid,estado,cidade,via,hnum,nsvia,latitude,longitude,postcode
705,Aguascalientes,Aguascalientes,CALLE ACACIA,421,LAS ARBOLEDAS,21.90099351534084,-102.30215606457975,20020
706,Aguascalientes,Aguascalientes,CALLE ACACIA,423,LAS ARBOLEDAS,21.901140174142984,-102.30220484933605,20020
707,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,1501,LAS ARBOLEDAS,21.899835655180713,-102.30266266922582,20020
708,Aguascalientes,Aguascalientes,CALLE MARGIL DE JESÚS,1402,CIRCUNVALACIÓN NORTE,21.90009379017575,-102.30129341525567,20020
709,Aguascalientes,Aguascalientes,CALLE LIBERTAD,1608,CIRCUNVALACIÓN NORTE,21.899495335855825,-102.30106004528858,20020
710,Aguascalientes,Aguascalientes,AVENIDA CONVENCIÓN 1914 NORTE,SN,CIRCUNVALACIÓN NORTE,21.89851420838901,-102.3008124467263,20020
711,Aguascalientes,Aguascalientes,AVENIDA CONVENCIÓN 1914 NORTE,1201A,CIRCUNVALACIÓN NORTE,21.89846952895705,-102.30097153286609,20020
712,Aguascalientes,Aguascalientes,AVENIDA CONVENCIÓN 1914 NORTE,1203,CIRCUNVALACIÓN NORTE,21.898421997230443,-102.3011407741642,20020
713,Aguascalientes,Aguascalientes,AVENIDA CONVENCIÓN 1914 NORTE,1205,CIRCUNVALACIÓN NORTE,21.898386323439368,-102.30126779362587,20020
714,Aguascalientes,Aguascalientes,CALLE ACACIA,SN,CIRCUNVALACIÓN NORTE,21.898581365687594,-102.30139035053976,20020
715,Aguascalientes,Aguascalientes,CALLE ACACIA,329,CIRCUNVALACIÓN NORTE,21.899802017622292,-102.30176619953606,20020
716,Aguascalientes,Aguascalientes,CALLE TABACHÍN,SN,LAS ARBOLEDAS,21.9026833216234,-102.30519884192456,20020
717,Aguascalientes,Aguascalientes,CALLE TABACHÍN,350,LAS ARBOLEDAS,21.902586195948388,-102.3051681586885,20020
718,Aguascalientes,Aguascalientes,CALLE TABACHÍN,348,LAS ARBOLEDAS,21.902497806697063,-102.30514023543923,20020
719,Aguascalientes,Aguascalientes,CALLE TABACHÍN,346,LAS ARBOLEDAS,21.902423667871723,-102.3051168141034,20020
720,Aguascalientes,Aguascalientes,CALLE TABACHÍN,344A,LAS ARBOLEDAS,21.90236022130904,-102.30509677060137,20020
721,Aguascalientes,Aguascalientes,CALLE TABACHÍN,344,LAS ARBOLEDAS,21.902270854133413,-102.30506853851111,20020
722,Aguascalientes,Aguascalientes,CALLE TABACHÍN,338,LAS ARBOLEDAS,21.902170394109184,-102.30503680211177,20020
723,Aguascalientes,Aguascalientes,CALLE TABACHÍN,SN,LAS ARBOLEDAS,21.902073557088976,-102.30500621030419,20020
724,Aguascalientes,Aguascalientes,CALLE TABACHÍN,304,LAS ARBOLEDAS,21.901634479662867,-102.30486750180897,20020
725,Aguascalientes,Aguascalientes,CALLE ABEDUL,SN,LAS ARBOLEDAS,21.9006209440482,-102.304748699503,20020
726,Aguascalientes,Aguascalientes,CALLE PIRACANTO,SN,LAS ARBOLEDAS,21.90200237616073,-102.30537460298692,20020
727,Aguascalientes,Aguascalientes,CALLE PIRACANTO,441,LAS ARBOLEDAS,21.90210794462061,-102.30540797441078,20020
728,Aguascalientes,Aguascalientes,CALLE PIRACANTO,443,LAS ARBOLEDAS,21.902208111097774,-102.30543963825437,20020
729,Aguascalientes,Aguascalientes,CALLE PIRACANTO,SN,LAS ARBOLEDAS,21.90230689833876,-102.30547086615185,20020
730,Aguascalientes,Aguascalientes,CALLE PIRACANTO,453,LAS ARBOLEDAS,21.902389192308057,-102.3054968803532,20020
731,Aguascalientes,Aguascalientes,CALLE PIRACANTO,453A,LAS ARBOLEDAS,21.90245085530656,-102.30551637285589,20020
